0,1,2,3,4,5,6,7,8
,,,,,,,,
,,,,,,,,
Gross Domestic Product At 2010 Constant Basic Prices (%),,,,,,,,
,,,,,,,,
,,,,,,,,
,2023,,,,,2024,,
,Q1,Q2,Q3,Q4,Total,Q1,Q2,Q3
ACTIVITY SECTOR,,,,,,,,
,,,,,,,,
        29. Water Transport,18.438735429108057,5.357273592965406,7.270762435273137,6.286271906306085,8.380273306599296,4.336747278552067,33.04862117683236,6.419807310402015
        30. Air Transport,19.450848820469236,4.36607909248965,4.201964304014227,-1.6584355305367837,7.37719765720759,-9.48017152316134,-11.173171209542199,-9.911782529673074
        31. Transport Services,7.746882330528915,3.35942973787835,3.884748867987309,3.4248203642957886,4.155065028552629,5.93409573750785,3.4321920738392464,2.6778252319432427
        32. Post and Courier Services,2.3527858690385317,2.386813819030098,-1.5819867035473445,3.0966226620712245,2.0060468991473623,2.401310736777429,1.520164843294336,0.8496590885691546
INFORMATION AND COMMUNICATION,10.315013203333546,8.597467333115771,6.6947880982831,6.32871263080883,7.911589170912969,5.4264524855055285,4.438186046690995,5.924217711145974
          33. Telecommunications & Information Services,11.705888865205495,9.736545766152194,7.737502385548112,6.932333447331573,8.90267171481025,6.22632514105359,5.167290363008137,6.7814446977533915
"          34.  Publishing,  ",2.4102981148619085,2.5448743281653474,3.095261497770596,3.890894741876627,2.987823719484717,1.4876265485295859,-0.5188131009412844,1.7592889572559445
"          34. Motion Pictures, Sound recording and  Music production    ",2.682315834139204,-1.9891500904159143,-1.0145270803726514,3.759027941274651,1.064045935503577,1.751455837278315,-0.18450184501844769,-0.1711695040710559
       36. Broadcasting,6.29820488207633,5.697417255519177,3.179494800864835,2.97039497568663,4.663408393395452,2.244114275507192,1.520164843294336,2.3129198729990863
"37.ARTS, ENTERTAINMENT AND RECREATION",5.471330919911943,2.5381939101484896,4.45209932566919,4.126854630180188,4.275992891566216,4.436184971131474,1.7926655452433549,4.743467037907134
FINANCIAL AND INSURANCE,21.372681166338324,26.844478613751967,28.213865455154785,29.776037549752754,26.53297736017617,31.23849278017392,28.793961952691816,30.832758456848232
         38. Financial Institutions,24.96111307830102,29.234777074498375,29.6607610852188,31.435389704368678,28.85701499305995,33.297463039861896,30.36822805346886,31.922167994588936
       39. Insurance,-8.0084410858288,7.3114599035993155,15.208080539472114,8.270061898227432,4.821955702487668,8.338220290604049,13.301206248675035,19.811881308194668
40. REAL ESTATE,1.6991112130363417,1.8716860582259631,1.899211478513485,1.3359581905849627,1.6751913808489949,0.8379989200004045,0.7541588921525566,0.6844672070665414
"41. PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",3.0812378624862635,2.8890604174969026,2.1539533813647926,1.7925466794727951,2.4258568481095644,1.010590448819304,1.337776825993764,1.357470210529188
42. ADMINISTRATIVE & SUPPORT SERVICES,-4.637382842053139,1.9791065365689642,2.7700258839936653,1.6093369372041533,0.6231573831015025,-1.5266369469958518,1.3194931773899077,2.4013072951239556
43. PUBLIC ADMINISTRATION,2.028003663518918,2.180806400585067,2.0518278103546006,2.1836064328931037,2.119086633489431,2.0933413100467035,1.8459873577218344,2.533719516849242
44. EDUCATION,0.7212904566660239,1.4174594105773375,1.4487283385378413,1.5960125048648743,1.3087296769089374,1.6204457696670893,1.9197389336980786,2.288543314448055
45. HUMAN HEALTH AND SOCIAL SERVICES,2.4574961447707544,1.9500160272487133,2.9264982288105923,3.734698493239952,2.7849834976633847,2.12261012322148,2.409956485700615,3.255456501136189
46. OTHER SERVICES,-20.05341135995129,1.6924342418220162,0.632898190878195,0.05266190121755443,-5.678381954001277,-18.2686094469113,-12.657382883983948,0.4715198005959431
,,,,,,,,
 GDP at 2010 constant price,2.3094764209617535,2.507551814256881,2.543921161159024,3.464191804816519,2.740469426318648,2.9754942773865034,3.1924666044742755,3.4640263959518913
Net Indirect Taxes on Products,9.080831186009263,15.272862623699801,33.91863894258125,-10.900252296781387,10.773390976930997,-10.344523103368408,-11.75557673221056,-11.76877880307442
GDP Constant Market Price,2.395746420984457,2.6480281333739253,3.0871468984057016,3.2099466656324127,2.8602149907127394,2.7947121286091114,3.007738684094452,3.1214030869863407
